timestamp_ms,symbol,direction,interval,entry,sl,tp1,tp2,tp3,confidence,vol_1h_pct,last_5m_trades,avg_5m_trades,activity_status,followup_ts_ms,followup_vol_1h_pct,timestamp_am,followup_ts_am,last_activity_check_ts_ms,last_activity_check_ts_am,last_activity_trades,last_activity_avg_trades,last_activity_status
1774475759999,PIPPINUSDT,BUY,1m,0.04654,0.04574,0.04733,0.04813,0.04892,0.6352875859036582,6.04,1334,32555.172413793105,VERY LOW,1774479390255,8.76,2026-03-26 01:55:59,2026-03-26 02:56:30,1774479320846,2026-03-26 02:55:20,3176,15966.24,VERY LOW
1774489679999,SUPERUSDT,BUY,1m,0.1355,0.1329,0.138,0.1406,0.1432,0.7173933659164999,5.88,7705,4170.0344827586205,VERY HIGH,1774493320616,5.15,2026-03-26 05:47:59,2026-03-26 06:48:40,1774490300271,2026-03-26 05:58:20,4224,4894.66,NORMAL
1774500119999,BRUSDT,SELL,1m,0.16747,0.17081,0.16412,0.16077,0.15742,0.6917314696446849,5.24,5022,14766.0,VERY LOW,1774503752004,6.88,2026-03-26 08:41:59,2026-03-26 09:42:32,1774500277597,2026-03-26 08:44:37,12728,14766.00,NORMAL
1774500899999,KATUSDT,BUY,1m,0.01217,0.01193,0.0124,0.01263,0.01286,0.6973528119877274,5.12,81,1588.9310344827586,VERY LOW,1774504540162,2.45,2026-03-26 08:54:59,2026-03-26 09:55:40,1774501458925,2026-03-26 09:04:18,1486,1589.14,NORMAL
1774518719999,KATUSDT,SELL,1m,0.01418,0.01446,0.01389,0.01361,0.01332,0.731,8.72,9091,19212.275862068964,VERY LOW,,,2026-03-26 13:51:59,,1774519458088,2026-03-26 14:04:18,10713,20044.66,LOW
1774519859999,MUSDT,SELL,1m,2.2456,2.2905,2.2006,2.1557,2.1108,0.731,5.15,11933,13172.034482758621,NORMAL,,,2026-03-26 14:10:59,,1774520178067,2026-03-26 14:16:18,11750,13444.69,NORMAL
1774519859999,SIRENUSDT,BUY,1m,1.98426,1.94854,2.01997,2.05569,2.09141,0.6659553150654847,3.81,14625,38842.44827586207,VERY LOW,,,2026-03-26 14:10:59,,1774521229528,2026-03-26 14:33:49,34745,37653.45,NORMAL
1774520459999,KATUSDT,SELL,1m,0.01427,0.01455,0.01398,0.01369,0.01341,0.7233159929882451,7.03,5831,24407.48275862069,VERY LOW,,,2026-03-26 14:20:59,,1774521865438,2026-03-26 14:44:25,10820,22552.72,VERY LOW
1774520759999,KNCUSDT,BUY,1m,0.1477,0.1448,0.1505,0.1533,0.1561,0.731,4.45,741,454.82758620689657,HIGH,,,2026-03-26 14:25:59,,1774521380322,2026-03-26 14:36:20,1298,1301.83,NORMAL
1774520999999,BSBUSDT,SELL,1m,0.15894,0.16195,0.15592,0.1529,0.14988,0.7112217668205886,4.52,120,6896.137931034483,VERY LOW,,,2026-03-26 14:29:59,,1774521865438,2026-03-26 14:44:25,3415,6970.48,VERY LOW
1774523399999,PIPPINUSDT,BUY,1m,0.05966,0.05863,0.06068,0.0617,0.06272,0.731,4.67,31738,12647.034482758621,VERY HIGH,,,2026-03-26 15:09:59,,1774523537154,2026-03-26 15:12:17,10893,13585.24,NORMAL
1774523399999,BSBUSDT,SELL,1m,0.15288,0.15578,0.14997,0.14707,0.14416,0.731,4.45,833,6831.241379310345,VERY LOW,,,2026-03-26 15:09:59,,1774524438290,2026-03-26 15:27:18,4634,5685.34,NORMAL
1774523399999,KATUSDT,SELL,1m,0.01441,0.01468,0.01413,0.01386,0.01358,0.6454409690200464,3.62,2219,17436.0,VERY LOW,,,2026-03-26 15:09:59,,1774525618485,2026-03-26 15:46:58,11916,14251.72,NORMAL
1774523819999,DYMUSDT,BUY,1m,0.03172,0.03108,0.03235,0.03298,0.03362,0.731,9.3,4894,348.55172413793105,VERY HIGH,,,2026-03-26 15:16:59,,1774524019694,2026-03-26 15:20:19,965,822.86,NORMAL
1774524659999,CYSUSDT,BUY,1m,0.3543,0.3479,0.3606,0.367,0.3734,0.6969504892823862,6.29,2148,3071.103448275862,LOW,,,2026-03-26 15:30:59,,1774525057275,2026-03-26 15:37:37,2694,3193.10,NORMAL
1774525619999,MUSDT,SELL,1m,2.1333,2.1759,2.0906,2.0479,2.0053,0.731,9.61,17295,13585.310344827587,HIGH,,,2026-03-26 15:46:59,,1774525977897,2026-03-26 15:52:57,13593,14158.21,NORMAL
1774525619999,BEATUSDT,BUY,1m,0.5271,0.5176,0.5365,0.546,0.5555,0.7229907085607177,8.42,9186,6676.931034482759,HIGH,,,2026-03-26 15:46:59,,1774525903136,2026-03-26 15:51:43,6968,7302.03,NORMAL
1774526879999,CYSUSDT,BUY,1m,0.3476,0.3413,0.3538,0.3601,0.3663,0.731,8.88,10379,4087.689655172414,VERY HIGH,1774530518320,3.49,2026-03-26 16:07:59,2026-03-26 17:08:38,1774527744618,2026-03-26 16:22:24,5472,5388.59,NORMAL
1774527839999,MUSDT,SELL,1m,2.094,2.1337,2.0542,2.0144,1.9746,0.7041667978769615,4.36,17110,13655.551724137931,HIGH,1774531513691,5.17,2026-03-26 16:23:59,2026-03-26 17:25:13,1774530598978,2026-03-26 17:09:58,12514,11205.07,NORMAL
1774528079999,BASUSDT,SELL,1m,0.009977,0.010176,0.009777,0.009577,0.009378,0.731,12.21,3626,1142.4827586206898,VERY HIGH,1774531759406,13.25,2026-03-26 16:27:59,2026-03-26 17:29:19,1774528463836,2026-03-26 16:34:23,1170,1293.55,NORMAL
1774528079999,ONUSDT,SELL,1m,0.10184,0.10377,0.0999,0.09797,0.09603,0.731,6.91,3118,630.4137931034483,VERY HIGH,1774531824934,3.33,2026-03-26 16:27:59,2026-03-26 17:30:24,1774528858404,2026-03-26 16:40:58,806,848.14,NORMAL
1774528559999,UBUSDT,SELL,1m,0.02842,0.02898,0.02785,0.02728,0.02671,0.731,14.33,1314,2088.4827586206898,LOW,1774532251676,8.51,2026-03-26 16:35:59,2026-03-26 17:37:31,1774528698686,2026-03-26 16:38:18,1740,2088.48,NORMAL
1774528739999,OPENUSDT,SELL,1m,0.1756,0.1789,0.1722,0.1689,0.1655,0.660774217481383,2.92,1945,643.7586206896551,VERY HIGH,1774532403515,2.23,2026-03-26 16:38:59,2026-03-26 17:40:03,1774529255318,2026-03-26 16:47:35,955,883.14,NORMAL
1774528739999,KITEUSDT,SELL,1m,0.21353,0.21758,0.20947,0.20541,0.20135,0.731,4.05,296,5118.482758620689,VERY LOW,1774532489324,2.86,2026-03-26 16:38:59,2026-03-26 17:41:29,1774529031300,2026-03-26 16:43:51,5053,5118.48,NORMAL
1774528919999,OGNUSDT,BUY,1m,0.0241,0.0236,0.0245,0.025,0.0255,0.731,8.44,2008,324.13793103448273,VERY HIGH,,,2026-03-26 16:41:59,,,,,,
1774528979999,KATUSDT,SELL,1m,0.01376,0.01403,0.01348,0.0132,0.01293,0.731,12.75,20217,12456.310344827587,HIGH,1774532674181,6.54,2026-03-26 16:42:59,2026-03-26 17:44:34,1774530232181,2026-03-26 17:03:52,11320,11352.31,NORMAL
1774529159999,BRUSDT,BUY,1m,0.18181,0.17835,0.18526,0.18871,0.19217,0.731,9.07,6404,13623.586206896553,VERY LOW,1774532873240,5.90,2026-03-26 16:45:59,2026-03-26 17:47:53,1774529635881,2026-03-26 16:53:55,13031,14382.72,NORMAL
1774529159999,SIRENUSDT,SELL,1m,1.86847,1.9021,1.83483,1.8012,1.76757,0.731,7.62,8963,27616.44827586207,VERY LOW,1774532873240,7.83,2026-03-26 16:45:59,2026-03-26 17:47:53,1774529255318,2026-03-26 16:47:35,23364,27616.45,NORMAL
1774529219999,BEATUSDT,SELL,1m,0.5456,0.5554,0.5357,0.5259,0.5161,0.731,6.16,5118,9493.413793103447,LOW,1774532873240,3.54,2026-03-26 16:46:59,2026-03-26 17:47:53,1774529255318,2026-03-26 16:47:35,8188,9493.41,NORMAL
1774529459999,BSBUSDT,BUY,1m,0.1577,0.1547,0.16069,0.16369,0.16668,0.7040471745384146,5.27,1428,3902.862068965517,VERY LOW,1774533062155,3.12,2026-03-26 16:50:59,2026-03-26 17:51:02,1774530232181,2026-03-26 17:03:52,4158,3956.03,NORMAL
1774529879999,GTCUSDT,BUY,1m,0.092,0.09,0.093,0.095,0.097,0.731,10.71,1522,121.44827586206897,VERY HIGH,1774533458680,12.35,2026-03-26 16:57:59,2026-03-26 17:57:38,1774530448444,2026-03-26 17:07:28,223,221.00,NORMAL
1774530779999,NAORISUSDT,SELL,1m,0.06513,0.0663,0.06395,0.06278,0.06161,0.731,4.45,2543,3390.7586206896553,LOW,1774534392253,2.95,2026-03-26 17:12:59,2026-03-26 18:13:12,1774530846534,2026-03-26 17:14:06,3256,3390.76,NORMAL
1774531799999,CYSUSDT,BUY,1m,0.3785,0.3716,0.3853,0.3921,0.3989,0.6746067839196017,7.32,9616,7880.3448275862065,HIGH,1774535416182,4.79,2026-03-26 17:29:59,2026-03-26 18:30:16,1774535348406,2026-03-26 18:29:08,3206,8115.66,VERY LOW
1774532339999,COLLECTUSDT,SELL,1m,0.05222,0.05315,0.05128,0.05034,0.0494,0.731,13.45,4003,1215.7586206896551,VERY HIGH,1774536036646,3.98,2026-03-26 17:38:59,2026-03-26 18:40:36,1774532873240,2026-03-26 17:47:53,1461,1517.97,NORMAL
1774532579999,PARTIUSDT,BUY,1m,0.08641,0.08476,0.08805,0.08969,0.09133,0.731,5.94,7832,726.6551724137931,VERY HIGH,,,2026-03-26 17:42:59,,,,,,
1774532579999,UBUSDT,BUY,1m,0.02804,0.02747,0.0286,0.02916,0.02972,0.731,10.1,3838,2716.310344827586,HIGH,,,2026-03-26 17:42:59,,,,,,
1774532999999,BASUSDT,SELL,1m,0.0087,0.008874,0.008526,0.008351,0.008178,0.731,15.92,793,2563.4827586206898,VERY LOW,1774536696683,28.09,2026-03-26 17:49:59,2026-03-26 18:51:36,1774533154185,2026-03-26 17:52:34,2142,2563.48,NORMAL
1774533059999,FOLKSUSDT,BUY,1m,1.16,1.137,1.182,1.204,1.226,0.731,7.38,376,184.58620689655172,VERY HIGH,,,2026-03-26 17:50:59,,,,,,
1774533179999,CELRUSDT,BUY,1m,0.00277,0.00271,0.00282,0.00288,0.00293,0.700723792760786,5.54,856,148.72413793103448,VERY HIGH,1774536902052,3.28,2026-03-26 17:52:59,2026-03-26 18:55:02,1774533458680,2026-03-26 17:57:38,205,177.10,NORMAL
1774533479999,PTBUSDT,SELL,1m,0.001804,0.001834,0.001773,0.001742,0.001711,0.7073717463417247,6.87,5405,1874.8620689655172,VERY HIGH,1774537154401,25.20,2026-03-26 17:57:59,2026-03-26 18:59:14,1774534041968,2026-03-26 18:07:21,2339,2179.00,NORMAL
1774534439999,MUSDT,SELL,1m,1.9957,2.0356,1.9557,1.9158,1.8759,0.6287531769608966,4.28,17823,10988.862068965518,HIGH,1774538129363,4.09,2026-03-26 18:13:59,2026-03-26 19:15:29,1774534999182,2026-03-26 18:23:19,9891,10394.00,NORMAL
1774534979999,HANAUSDT,BUY,1m,0.0421,0.04138,0.04281,0.04353,0.04425,0.6688850839835838,6.13,1540,155.48275862068965,VERY HIGH,,,2026-03-26 18:22:59,,,,,,
1774535399999,ESPORTSUSDT,BUY,1m,0.3766,0.36949,0.38439,0.39222,0.40018,0.731,8.41,9389,4384.862068965517,VERY HIGH,1774539162581,4.86,2026-03-26 18:29:59,2026-03-26 19:32:42,1774536199427,2026-03-26 18:43:19,6179,5222.83,NORMAL
1774535639999,BLUAIUSDT,SELL,1m,0.007977,0.008136,0.007817,0.007657,0.007498,0.731,5.87,17332,5153.620689655172,VERY HIGH,1774539371411,3.04,2026-03-26 18:33:59,2026-03-26 19:36:11,1774536122325,2026-03-26 18:42:02,5056,5987.38,NORMAL
1774536479999,JCTUSDT,SELL,1m,0.003139,0.003198,0.003079,0.003019,0.00296,0.6239595576364232,4.4,2502,2299.551724137931,NORMAL,1774540175671,4.28,2026-03-26 18:47:59,2026-03-26 19:49:35,1774536773503,2026-03-26 18:52:53,2058,2382.07,NORMAL
1774537019999,CYSUSDT,BUY,1m,0.42,0.4124,0.4275,0.4351,0.4426,0.731,11.42,4813,6416.6551724137935,LOW,1774540693051,14.71,2026-03-26 18:56:59,2026-03-26 19:58:13,1774537154401,2026-03-26 18:59:14,7282,6416.66,NORMAL
1774537319999,BASUSDT,SELL,1m,0.008965,0.009144,0.008785,0.008606,0.008427,0.731,1.76,2101,6646.793103448276,VERY LOW,1774540960382,3.05,2026-03-26 19:01:59,2026-03-26 20:02:40,1774538910943,2026-03-26 19:28:30,5819,6680.00,NORMAL
1774537319999,PTBUSDT,SELL,1m,0.001475,0.001501,0.001448,0.001421,0.001395,0.731,4.6,6308,3316.206896551724,VERY HIGH,1774540960382,2.94,2026-03-26 19:01:59,2026-03-26 20:02:40,1774537934443,2026-03-26 19:12:14,3862,4139.83,NORMAL
1774537319999,BOBUSDT,BUY,1m,0.00549,0.005385,0.005594,0.005698,0.005802,0.6978202521873389,3.68,1932,85.13793103448276,VERY HIGH,1774540960382,2.18,2026-03-26 19:01:59,2026-03-26 20:02:40,1774538129363,2026-03-26 19:15:29,232,255.97,NORMAL
1774537559999,BTRUSDT,BUY,1m,0.0383,0.03764,0.03895,0.0396,0.04026,0.731,4.47,1851,1025.5862068965516,VERY HIGH,,,2026-03-26 19:05:59,,,,,,
1774537559999,ARIAUSDT,BUY,1m,0.28872,0.28323,0.2942,0.29969,0.30517,0.731,6.24,3972,4627.206896551724,NORMAL,1774541216353,1.67,2026-03-26 19:05:59,2026-03-26 20:06:56,1774538038649,2026-03-26 19:13:58,5775,4909.97,NORMAL
1774537559999,RIVERUSDT,SELL,1m,17.83,18.134,17.525,17.22,16.915,0.731,5.24,9283,15778.965517241379,LOW,1774541216353,1.85,2026-03-26 19:05:59,2026-03-26 20:06:56,1774538038649,2026-03-26 19:13:58,16506,15613.10,NORMAL
1774537799999,KATUSDT,BUY,1m,0.01393,0.01366,0.01419,0.01445,0.01472,0.7185091235526888,3.79,1180,6057.379310344828,VERY LOW,,,2026-03-26 19:09:59,,,,,,
1774538039999,LYNUSDT,SELL,1m,0.05448,0.05556,0.05339,0.0523,0.05121,0.731,10.13,40200,1582.5172413793102,VERY HIGH,1774541714268,2.17,2026-03-26 19:13:59,2026-03-26 20:15:14,1774538536939,2026-03-26 19:22:16,3833,3337.72,NORMAL
1774538279999,APRUSDT,SELL,1m,0.14725,0.15004,0.14445,0.14165,0.13885,0.731,5.21,8539,817.6896551724138,VERY HIGH,1774541989216,0.87,2026-03-26 19:17:59,2026-03-26 20:19:49,1774538451144,2026-03-26 19:20:51,1140,1095.66,NORMAL
1774538699999,ENJUSDT,BUY,1m,0.02166,0.02122,0.02209,0.02252,0.02295,0.731,4.39,106,1065.9310344827586,VERY LOW,1774542366877,7.75,2026-03-26 19:24:59,2026-03-26 20:26:06,1774539472850,2026-03-26 19:37:52,1308,1476.21,NORMAL
1774538939999,PARTIUSDT,BUY,1m,0.10452,0.10242,0.10661,0.1087,0.11079,0.6642535659302183,3.89,11047,15630.413793103447,LOW,1774542559772,4.02,2026-03-26 19:28:59,2026-03-26 20:29:19,1774540960382,2026-03-26 20:02:40,15371,17705.10,NORMAL
1774538939999,MUSDT,SELL,1m,2.0567,2.0957,2.0176,1.9785,1.9394,0.6922395815909581,4.53,7602,10645.0,LOW,1774542629531,5.67,2026-03-26 19:28:59,2026-03-26 20:30:29,1774541508742,2026-03-26 20:11:48,9445,9113.86,NORMAL
1774538939999,UBUSDT,BUY,1m,0.03024,0.02963,0.03084,0.03144,0.03205,0.6401092034305756,6.04,2080,2162.793103448276,NORMAL,1774542629531,8.98,2026-03-26 19:28:59,2026-03-26 20:30:29,1774539472850,2026-03-26 19:37:52,2266,2032.24,NORMAL
1774539179999,BSBUSDT,BUY,1m,0.16965,0.16642,0.17287,0.17609,0.17932,0.731,6.73,10111,3756.896551724138,VERY HIGH,,,2026-03-26 19:32:59,,,,,,
1774539359999,SIRENUSDT,SELL,1m,1.92328,1.95616,1.89039,1.8575,1.82461,0.731,6.67,23546,25417.724137931036,NORMAL,1774543017978,23.75,2026-03-26 19:35:59,2026-03-26 20:36:57,1774539650716,2026-03-26 19:40:50,26980,30715.76,NORMAL
1774539599999,PIPPINUSDT,BUY,1m,0.05696,0.05593,0.05798,0.05901,0.06003,0.731,8.22,28537,14801.862068965518,VERY HIGH,1774543232353,5.16,2026-03-26 19:39:59,2026-03-26 20:40:32,1774541067821,2026-03-26 20:04:27,13688,15194.28,NORMAL
1774540859999,STOUSDT,BUY,1m,0.09651,0.09467,0.09834,0.10017,0.10201,0.6727267710821346,0.93,3951,5442.0344827586205,LOW,,,2026-03-26 20:00:59,,,,,,
1774540859999,ONUSDT,BUY,1m,0.11668,0.11446,0.11889,0.12111,0.12333,0.731,1.55,1312,1510.896551724138,NORMAL,,,2026-03-26 20:00:59,,,,,,
1774540859999,BEATUSDT,BUY,1m,0.6152,0.6042,0.6265,0.6378,0.6495,0.731,5.83,17815,3587.344827586207,VERY HIGH,,,2026-03-26 20:00:59,,,,,,
1774541579999,BRUSDT,SELL,1m,0.17319,0.17665,0.16972,0.16626,0.16279,0.67764431588756,5.86,23796,10865.310344827587,VERY HIGH,1774545186824,7.88,2026-03-26 20:12:59,2026-03-26 21:13:06,1774541860929,2026-03-26 20:17:40,11030,11599.45,NORMAL
1774542059999,RIVERUSDT,SELL,1m,16.714,16.999,16.428,16.142,15.856,0.731,4.5,4982,17571.724137931036,VERY LOW,1774545721960,3.86,2026-03-26 20:20:59,2026-03-26 21:22:01,1774542177186,2026-03-26 20:22:57,14727,17571.72,NORMAL
1774542839999,BLESSUSDT,SELL,1m,0.006696,0.006823,0.006568,0.006441,0.006314,0.731,6.56,4695,938.8965517241379,VERY HIGH,,,2026-03-26 20:33:59,,1774543232353,2026-03-26 20:40:32,1205,1186.28,NORMAL
1774543199999,SIRENUSDT,BUY,1m,1.64321,1.61363,1.67278,1.70236,1.73194,0.7138697407049535,23.91,327,67883.10344827586,VERY LOW,,,2026-03-26 20:39:59,,1774543784167,2026-03-26 20:49:44,67008,68646.17,NORMAL
1774544219999,UBUSDT,SELL,1m,0.02599,0.0265,0.02547,0.02495,0.02443,0.7286098467146461,11.98,3312,2285.1724137931033,HIGH,,,2026-03-26 20:56:59,,1774544592737,2026-03-26 21:03:12,2261,2450.10,NORMAL
1774544219999,BSBUSDT,BUY,1m,0.1717,0.16843,0.17496,0.17822,0.18148,0.7165197136366351,7.03,4147,5254.9655172413795,LOW,,,2026-03-26 20:56:59,,1774544839558,2026-03-26 21:07:19,5567,6567.59,NORMAL
1774544219999,TRADOORUSDT,SELL,1m,2.534,2.579,2.488,2.442,2.397,0.731,6.45,1757,1429.1379310344828,HIGH,,,2026-03-26 20:56:59,,1774544679870,2026-03-26 21:04:39,1395,1476.41,NORMAL
1774544639999,PARTIUSDT,SELL,1m,0.10349,0.10545,0.10152,0.09955,0.09759,0.731,3.95,19624,10902.48275862069,HIGH,,,2026-03-26 21:03:59,,1774545880230,2026-03-26 21:24:40,7913,9449.14,NORMAL
1774545179999,BRUSDT,SELL,1m,0.17287,0.17632,0.16941,0.16595,0.16249,0.731,7.88,21271,13670.551724137931,HIGH,,,2026-03-26 21:12:59,,1774546159948,2026-03-26 21:29:19,13467,15650.69,NORMAL
